what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1430812908306
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1430812908306
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1430812908307
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1430812908308
os,sysinfo,,,"win32",1430812908326
arch,sysinfo,,,"x86",1430812908326
ws,sysinfo,,,"win32",1430812908326
locale,sysinfo,,,"zh_CN",1430812908326
processors,sysinfo,,,"4",1430812908326
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1430812908326
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1430812908326
java.specification.name,sysinfo,,,"Java Platform API Specification",1430812908326
java.specification.vendor,sysinfo,,,"Oracle Corporation",1430812908326
java.specification.version,sysinfo,,,"1.7",1430812908326
java.vendor,sysinfo,,,"Oracle Corporation",1430812908326
java.version,sysinfo,,,"1.7.0_67",1430812908326
java.vm.info,sysinfo,,,"mixed mode",1430812908326
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1430812908326
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1430812908326
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1430812908326
java.vm.specification.version,sysinfo,,,"1.7",1430812908326
java.vm.vendor,sysinfo,,,"Oracle Corporation",1430812908326
java.vm.version,sysinfo,,,"24.65-b04",1430812908326
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1430812909344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430812909833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430812913958
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1430812916527
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1430812916536
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1430812916595
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1430812920701
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1430812921802
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1430812921923
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430812922015
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430812922163
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1430812923024
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1430812923030
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1430812923070
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1430812932532
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1430812934325
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1430812934464
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1430812934526
